Time,Interest
2021-04-15T16,33
2021-04-15T17,37
2021-04-15T18,34
2021-04-15T19,47
2021-04-15T20,46
2021-04-15T21,50
2021-04-15T22,63
2021-04-15T23,67
2021-04-16T00,81
2021-04-16T01,83
2021-04-16T02,77
2021-04-16T03,67
2021-04-16T04,65
2021-04-16T05,45
2021-04-16T06,43
2021-04-16T07,35
2021-04-16T08,32
2021-04-16T09,30
2021-04-16T10,33
2021-04-16T11,33
2021-04-16T12,30
2021-04-16T13,29
2021-04-16T14,34
2021-04-16T15,31
2021-04-16T16,33
2021-04-16T17,35
2021-04-16T18,35
2021-04-16T19,38
2021-04-16T20,40
2021-04-16T21,57
2021-04-16T22,53
2021-04-16T23,61
2021-04-17T00,76
2021-04-17T01,81
2021-04-17T02,95
2021-04-17T03,75
2021-04-17T04,64
2021-04-17T05,60
2021-04-17T06,38
2021-04-17T07,31
2021-04-17T08,27
2021-04-17T09,28
2021-04-17T10,28
2021-04-17T11,30
2021-04-17T12,34
2021-04-17T13,35
2021-04-17T14,29
2021-04-17T15,31
2021-04-17T16,33
2021-04-17T17,32
2021-04-17T18,33
2021-04-17T19,38
2021-04-17T20,40
2021-04-17T21,51
2021-04-17T22,57
2021-04-17T23,65
2021-04-18T00,77
2021-04-18T01,79
2021-04-18T02,90
2021-04-18T03,89
2021-04-18T04,79
2021-04-18T05,52
2021-04-18T06,47
2021-04-18T07,39
2021-04-18T08,29
2021-04-18T09,32
2021-04-18T10,31
2021-04-18T11,35
2021-04-18T12,33
2021-04-18T13,33
2021-04-18T14,41
2021-04-18T15,31
2021-04-18T16,33
2021-04-18T17,29
2021-04-18T18,37
2021-04-18T19,43
2021-04-18T20,44
2021-04-18T21,54
2021-04-18T22,64
2021-04-18T23,79
2021-04-19T00,78
2021-04-19T01,90
2021-04-19T02,100
2021-04-19T03,87
2021-04-19T04,49
2021-04-19T05,60
2021-04-19T06,46
2021-04-19T07,40
2021-04-19T08,35
2021-04-19T09,37
2021-04-19T10,37
2021-04-19T11,35
2021-04-19T12,38
2021-04-19T13,39
2021-04-19T14,36
2021-04-19T15,41
2021-04-19T16,36
2021-04-19T17,41
2021-04-19T18,38
2021-04-19T19,42
2021-04-19T20,46
2021-04-19T21,54
2021-04-19T22,63
2021-04-19T23,67
2021-04-20T00,81
2021-04-20T01,94
2021-04-20T02,80
2021-04-20T03,81
2021-04-20T04,69
2021-04-20T05,47
2021-04-20T06,44
2021-04-20T07,33
2021-04-20T08,32
2021-04-20T09,34
2021-04-20T10,34
2021-04-20T11,32
2021-04-20T12,36
2021-04-20T13,35
2021-04-20T14,34
2021-04-20T15,32
2021-04-20T16,29
2021-04-20T17,36
2021-04-20T18,35
2021-04-20T19,39
2021-04-20T20,46
2021-04-20T21,54
2021-04-20T22,59
2021-04-20T23,71
2021-04-21T00,84
2021-04-21T01,88
2021-04-21T02,89
2021-04-21T03,69
2021-04-21T04,54
2021-04-21T05,46
2021-04-21T06,41
2021-04-21T07,35
2021-04-21T08,33
2021-04-21T09,33
2021-04-21T10,31
2021-04-21T11,32
2021-04-21T12,34
2021-04-21T13,38
2021-04-21T14,31
2021-04-21T15,35
2021-04-21T16,35
2021-04-21T17,36
2021-04-21T18,41
2021-04-21T19,41
2021-04-21T20,52
2021-04-21T21,51
2021-04-21T22,58
2021-04-21T23,59
2021-04-22T00,60
2021-04-22T01,77
2021-04-22T02,79
2021-04-22T03,70
2021-04-22T04,57
2021-04-22T05,40
2021-04-22T06,34
2021-04-22T07,37
2021-04-22T08,32
2021-04-22T09,26
2021-04-22T10,30
2021-04-22T11,33
2021-04-22T12,31
2021-04-22T13,32
2021-04-22T14,32
2021-04-22T15,32