DMA,Interest
Bluefield-Beckley-Oak Hill WV,100
Wheeling WV-Steubenville OH,97
Binghamton NY,93
Paducah KY-Cape Girardeau MO-Harrisburg-Mount Vernon IL,92
Erie PA,92
Bangor ME,90
Evansville IN,86
Jonesboro AR,85
Springfield-Holyoke MA,85
Flint-Saginaw-Bay City MI,83
Fargo-Valley City ND,83
Eureka CA,83
Bakersfield CA,83
Springfield MO,81
Abilene-Sweetwater TX,81
Albany-Schenectady-Troy NY,81
Roanoke-Lynchburg VA,80
Missoula MT,80
Watertown NY,79
Youngstown OH,79
Duluth MN-Superior WI,78
Johnstown-Altoona PA,78
Salt Lake City UT,78
Pittsburgh PA,77
Syracuse NY,77
Wichita Falls TX & Lawton OK,77
Panama City FL,76
Gainesville FL,76
Wilmington NC,76
Ft. Wayne IN,76
Spokane WA,76
Minot-Bismarck-Dickinson(Williston) ND,76
La Crosse-Eau Claire WI,75
Anchorage AK,75
Tulsa OK,74
Burlington VT-Plattsburgh NY,74
Lexington KY,74
Wilkes Barre-Scranton PA,74
Quincy IL-Hannibal MO-Keokuk IA,73
Hartford & New Haven CT,73
South Bend-Elkhart IN,73
Twin Falls ID,72
Traverse City-Cadillac MI,72
Birmingham AL,72
Charlottesville VA,72
Indianapolis IN,72
Rockford IL,72
Tucson (Sierra Vista) AZ,72
Cedar Rapids-Waterloo-Iowa City & Dubuque IA,72
Lafayette IN,72
Utica NY,71
Greenville-Spartanburg SC-Asheville NC-Anderson SC,71
Clarksburg-Weston WV,71
Rapid City SD,71
Greensboro-High Point-Winston Salem NC,71
Chattanooga TN,71
Bend OR,71
Elmira NY,71
Nashville TN,71
Santa Barbara-Santa Maria-San Luis Obispo CA,70
Grand Rapids-Kalamazoo-Battle Creek MI,70
Charleston-Huntington WV,70
Eugene OR,70
Idaho Falls-Pocatello ID,70
Knoxville TN,70
Odessa-Midland TX,70
Philadelphia PA,69
Tallahassee FL-Thomasville GA,69
Detroit MI,69
Lansing MI,69
Sioux City IA,69
Minneapolis-St. Paul MN,69
Peoria-Bloomington IL,69
Joplin MO-Pittsburg KS,68
Cleveland-Akron (Canton) OH,68
Louisville KY,68
Columbia SC,68
Laredo TX,68
Boston MA-Manchester NH,68
Richmond-Petersburg VA,68
Tri-Cities TN-VA,68
Lubbock TX,68
Ft. Smith-Fayetteville-Springdale-Rogers AR,68
Columbus GA,67
Baltimore MD,67
San Antonio TX,67
Buffalo NY,66
Jackson TN,66
Bowling Green KY,66
Savannah GA,66
Greenville-New Bern-Washington NC,65
Harrisonburg VA,65
Des Moines-Ames IA,65
Milwaukee WI,65
Columbus OH,65
"Billings, MT",65
Las Vegas NV,65
Salisbury MD,65
Marquette MI,64
Boise ID,64
Providence RI-New Bedford MA,64
Harrisburg-Lancaster-Lebanon-York PA,64
Denver CO,64
Chicago IL,64
Albany GA,64
Champaign & Springfield-Decatur IL,64
Charleston SC,64
Albuquerque-Santa Fe NM,63
Fresno-Visalia CA,63
Raleigh-Durham (Fayetteville) NC,63
Phoenix AZ,63
Shreveport LA,63
Seattle-Tacoma WA,63
St. Louis MO,63
Norfolk-Portsmouth-Newport News VA,62
Yakima-Pasco-Richland-Kennewick WA,62
Little Rock-Pine Bluff AR,62
Portland OR,62
Augusta GA,62
Macon GA,62
Oklahoma City OK,61
Kansas City MO,61
Sacramento-Stockton-Modesto CA,61
Tyler-Longview(Lufkin & Nacogdoches) TX,61
Davenport IA-Rock Island-Moline IL,61
Los Angeles CA,61
Omaha NE,61
Montgomery (Selma) AL,61
Cincinnati OH,60
Dayton OH,60
Terre Haute IN,60
Tampa-St. Petersburg (Sarasota) FL,60
Atlanta GA,60
Honolulu HI,60
Washington DC (Hagerstown MD),60
Wichita-Hutchinson KS,60
Jacksonville FL,60
Monroe LA-El Dorado AR,60
Columbia-Jefferson City MO,60
San Francisco-Oakland-San Jose CA,60
Corpus Christi TX,59
Baton Rouge LA,59
Yuma AZ-El Centro CA,59
Palm Springs CA,59
Orlando-Daytona Beach-Melbourne FL,59
Medford-Klamath Falls OR,59
New Orleans LA,59
Huntsville-Decatur (Florence) AL,59
Toledo OH,59
Lincoln & Hastings-Kearney NE,58
Lafayette LA,58
Austin TX,58
Houston TX,58
Portland-Auburn ME,58
Topeka KS,58
Colorado Springs-Pueblo CO,58
Monterey-Salinas CA,58
Chico-Redding CA,58
Hattiesburg-Laurel MS,57
Lake Charles LA,57
Reno NV,57
Rochester NY,57
Green Bay-Appleton WI,56
Madison WI,56
Charlotte NC,56
Florence-Myrtle Beach SC,55
Dallas-Ft. Worth TX,55
New York NY,55
San Diego CA,55
West Palm Beach-Ft. Pierce FL,55
Ft. Myers-Naples FL,54
Jackson MS,54
Waco-Temple-Bryan TX,54
Dothan AL,54
Sherman TX-Ada OK,53
Wausau-Rhinelander WI,53
Memphis TN,53
Columbus-Tupelo-West Point MS,53
Sioux Falls(Mitchell) SD,52
Harlingen-Weslaco-Brownsville-McAllen TX,52
Miami-Ft. Lauderdale FL,51
Mobile AL-Pensacola (Ft. Walton Beach) FL,51
El Paso TX,49
Rochester MN-Mason City IA-Austin MN,42
Biloxi-Gulfport MS,42
Beaumont-Port Arthur TX,42
Amarillo TX,38
Greenwood-Greenville MS,37
Grand Junction-Montrose CO,23
Victoria TX,
Ottumwa IA-Kirksville MO,
Juneau AK,
Mankato MN,
Alexandria LA,
Presque Isle ME,
Meridian MS,
St. Joseph MO,
Helena MT,
Butte-Bozeman MT,
San Angelo TX,
Parkersburg WV,
Fairbanks AK,
Cheyenne WY-Scottsbluff NE,
Great Falls MT,
Zanesville OH,
Casper-Riverton WY,
Lima OH,
North Platte NE,
Alpena MI,
Glendive MT,